title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
"Senior Software Engineer, Full Stack","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/5655fbe3-66b0-4951-afdc-3b67f71e6938,623,True,compensation,False,,True,4,all-colon,11,3,0,13,1,0,1,1,False,0,False,About the role: | Bonus points for: | How you'll make an impact: | What would make you a good fit:
Senior Strategy and Planning Analyst,US CA San Mateo,Full-time,https://www.skydio.com/jobs/8b96b4ed-04cf-4451-89bc-0db79a01d64d,602,True,compensation,False,,True,3,all-colon,8,2,0,20,1,0,0,4,False,0,False,About the Role: | How you'll make an impact: | What would make you a good fit:
Senior Technical Recruiter,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/16b0647d-a470-4917-9bb9-a95967828edc,433,True,compensation,False,,True,2,all-colon,5,2,0,14,2,0,1,4,True,0,False,How you'll make an impact: | What makes you a good fit:
Senior Technical Recruiter - Hardware Operations,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/737c02d2-f03f-4716-a0c8-e14a0307f8cb,440,True,compensation,False,,True,1,all-colon,5,2,0,13,4,0,1,4,True,0,False,What makes you a good fit:
Senior Technical Support Representative - Japan,"Tokyo, Japan",Full-time,https://www.skydio.com/jobs/f714e85f-31df-494e-bac4-1dd61d4d6066,606,False,li_slug,True,h1=3,False,0,n/a,4,2,0,20,2,0,0,4,False,0,False,text
"Senior Wireless Software Engineer, National Security","San Mateo, California, United States or Boston, Massachusetts, United States",Full-time,https://www.skydio.com/jobs/e49983b2-2323-48ea-bf1d-270f9f037457,723,True,compensation,True,h2=6,False,0,n/a,7,3,0,25,2,0,0,4,False,0,False,text
Senior Wireless Systems Performance Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/f1ecf164-714c-4f1a-b672-d763f5724c03,385,True,compensation,False,,True,3,all-colon,5,2,0,16,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Senior/Staff Embedded Software Engineer – Camera Systems,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/71033170-d9d0-474b-b712-a11e4f11c146,394,True,compensation,False,,True,4,all-colon,9,2,0,18,0,0,0,4,False,0,False,About the Role: | About the Team: | How You'll Make an Impact: | What Makes You a Good Fit:
"Software Engineer - Autonomy Infrastructure, Systems and Tools","Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/49da6783-223e-4b2c-81f6-3b47de1c52e7,524,False,li_slug,True,h2=5,False,0,n/a,5,4,0,20,0,0,0,4,False,0,False,text
"Software Engineer - Autonomy Infrastructure, Systems and Tools","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/9e42a7af-6369-4036-ae6f-6626ee3a4fb3,521,True,compensation,True,h2=5,False,0,n/a,4,4,0,20,0,0,0,0,False,0,False,text
